,court_surface,year,player_name,opponent_name,tournament,round,num_sets,sets_won,games_won,games_against,tiebreaks_won,tiebreaks_total,aces,double_faults,first_serve_made,first_serve_attempted,first_serve_points_made,first_serve_points_attempted,second_serve_points_made,second_serve_points_attempted,break_points_saved,break_points_against,first_serve_return_points_made,first_serve_return_points_attempted,second_serve_return_points_made,second_serve_return_points_attempted,break_points_made,break_points_attempted,service_points_won,service_points_attempted,return_points_won,return_points_attempted,total_points_won,total_points,player_victory,retirement,won_first_set,doubles,masters,round_num
0,Hard,2018,A. Mannarino,D. Thiem,australian-open,Round of 32,3.0,0.0,11.0,19.0,0.0,0.0,3.0,3.0,56.0,92.0,30.0,56.0,17.0,36.0,6.0,12.0,15.0,52.0,14.0,35.0,2.0,3.0,47.0,92.0,29.0,87.0,76.0,179.0,f,f,f,f,2000,3
1,Hard,2018,A. Mannarino,J. Vesely,australian-open,Round of 64,4.0,3.0,24.0,19.0,1.0,1.0,19.0,8.0,80.0,132.0,62.0,80.0,26.0,52.0,7.0,12.0,27.0,86.0,30.0,49.0,6.0,11.0,88.0,132.0,57.0,135.0,145.0,267.0,t,f,t,f,2000,2
2,Hard,2018,A. Mannarino,M. Berrettini,australian-open,Round of 128,3.0,3.0,18.0,12.0,0.0,0.0,1.0,2.0,47.0,78.0,40.0,47.0,21.0,31.0,1.0,1.0,11.0,48.0,14.0,31.0,3.0,4.0,61.0,78.0,25.0,79.0,86.0,157.0,t,f,t,f,2000,1
3,Hard,2018,A. Menendez-Maceiras,F. Dancevic,australian-open,1st Round Qualifying,3.0,1.0,15.0,16.0,0.0,1.0,16.0,2.0,53.0,87.0,46.0,53.0,14.0,34.0,1.0,3.0,23.0,73.0,13.0,36.0,3.0,9.0,60.0,87.0,36.0,109.0,96.0,196.0,f,f,t,f,2000,-2
4,Hard,2018,A. Ramos-Vinolas,N. Djokovic,australian-open,Round of 32,3.0,0.0,8.0,18.0,0.0,0.0,3.0,3.0,57.0,96.0,34.0,57.0,20.0,39.0,7.0,12.0,11.0,55.0,16.0,32.0,0.0,6.0,54.0,96.0,27.0,87.0,81.0,183.0,f,f,f,f,2000,3
5,Hard,2018,A. Ramos-Vinolas,T. Smyczek,australian-open,Round of 64,3.0,3.0,19.0,12.0,1.0,1.0,6.0,4.0,49.0,83.0,45.0,49.0,21.0,34.0,3.0,3.0,20.0,64.0,18.0,35.0,3.0,11.0,66.0,83.0,38.0,99.0,104.0,182.0,t,f,t,f,2000,2
6,Hard,2018,A. Ramos Viñolas,J. Donaldson,australian-open,Round of 128,3.0,3.0,18.0,9.0,0.0,0.0,3.0,2.0,46.0,84.0,36.0,46.0,22.0,38.0,5.0,6.0,6.0,31.0,21.0,36.0,5.0,7.0,58.0,84.0,27.0,67.0,85.0,151.0,t,f,t,f,2000,1
7,Hard,2018,A. Gonzalez,C. Hemery,australian-open,2nd Round Qualifying,2.0,2.0,12.0,7.0,0.0,0.0,0.0,1.0,39.0,57.0,28.0,39.0,12.0,18.0,3.0,4.0,11.0,35.0,14.0,27.0,3.0,6.0,40.0,57.0,25.0,62.0,65.0,119.0,t,f,t,f,2000,-1
8,Hard,2018,A. Gonzalez,M. Bachinger,australian-open,3rd Round Qualifying,2.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,31.0,47.0,21.0,31.0,5.0,16.0,1.0,4.0,6.0,33.0,8.0,22.0,0.0,4.0,26.0,47.0,14.0,55.0,40.0,102.0,f,f,f,f,2000,0
9,Hard,2018,A. Gonzalez,M. Basic,australian-open,1st Round Qualifying,2.0,2.0,13.0,8.0,1.0,1.0,2.0,1.0,42.0,63.0,32.0,42.0,12.0,21.0,2.0,3.0,17.0,44.0,15.0,31.0,3.0,9.0,44.0,63.0,32.0,75.0,76.0,138.0,t,f,t,f,2000,-2
10,Hard,2018,A. Bublik,D. King,australian-open,2nd Round Qualifying,2.0,0.0,5.0,13.0,0.0,0.0,7.0,7.0,44.0,76.0,27.0,44.0,10.0,32.0,3.0,8.0,7.0,30.0,3.0,14.0,1.0,1.0,37.0,76.0,10.0,44.0,47.0,120.0,f,f,f,f,2000,-1
